type,start,end,duration,tCal,actCal,maxHR,avgHR,distance,speed
Cycling,2022-09-19 6:08,2022-09-19 6:38,0:30:05,383.49,340.62,153,140.13,,
Traditional Strength Training,2022-09-19 6:46,2022-09-19 7:26,0:40:13,236.93,158.73,129,104.84,,
Running,2022-09-20 6:11,2022-09-20 6:49,0:37:22,546.35,493.1,181,156.15,5.01,8.04
Traditional Strength Training,2022-09-20 6:52,2022-09-20 7:18,0:25:28,202.88,166.04,138,120.06,,
Traditional Strength Training,2022-09-21 5:50,2022-09-21 6:57,1:07:21,477.99,382.34,157,106.64,,
Traditional Strength Training,2022-09-22 6:12,2022-09-22 6:47,0:35:13,178.4,128.21,119,89.29,,
Stair Climbing,2022-09-22 6:48,2022-09-22 7:34,0:45:22,608.91,544.06,162,146.76,,
Traditional Strength Training,2022-09-23 6:28,2022-09-23 7:04,0:35:45,179.69,128.75,122,93.25,,
Elliptical,2022-09-23 7:04,2022-09-23 7:06,0:01:43,11.38,8.7,93,82.35,,
Rowing,2022-09-23 7:06,2022-09-23 7:41,0:35:03,118.33,67.88,163,144.55,,
Running,2022-09-24 6:37,2022-09-24 7:47,1:09:17,957.4,838.38,174,149.29,8.01,6.94
Running,2022-09-25 7:02,2022-09-25 8:09,1:06:01,869.25,774.09,164,149.66,7.81,7.1
Running,2022-09-25 8:09,2022-09-25 8:29,0:19:25,305.71,257.67,172,157.9,2.2,6.8
Traditional Strength Training,2022-09-26 6:17,2022-09-26 6:53,0:36:53,184.83,132.31,119,94.97,,
Cycling,2022-09-26 6:56,2022-09-26 7:26,0:30:05,405.4,341.47,159,150.7,,
Traditional Strength Training,2022-09-27 6:23,2022-09-27 7:23,0:59:49,414.28,328.95,165,106.66,,
Traditional Strength Training,2022-09-28 6:34,2022-09-28 7:15,0:40:53,218.7,160.48,133,95.52,,
Cycling,2022-09-28 7:19,2022-09-28 7:49,0:30:03,367.62,324.25,159,146.8,,
High Intensity Interval Training,2022-09-29 6:26,2022-09-29 7:03,0:37:00,581.21,507.77,181,164.33,,
Traditional Strength Training,2022-09-30 7:56,2022-09-30 8:45,0:48:12,371.91,282.75,153,113.67,,
Running,2022-10-01 6:06,2022-10-01 6:58,0:51:53,670.28,596.22,168,149.57,6.01,6.95
Traditional Strength Training,2022-10-01 9:55,2022-10-01 10:32,0:36:52,203.76,130.3,110,85.03,,
Running,2022-10-02 6:53,2022-10-02 8:33,1:39:13,1375,1213,169,154.69,12.01,7.26
Traditional Strength Training,2022-10-03 6:40,2022-10-03 7:28,0:48:39,305.15,236.08,144,99.8,,
Traditional Strength Training,2022-10-04 6:21,2022-10-04 7:00,0:39:18,194.84,138.86,119,92.36,,
Cycling,2022-10-04 7:02,2022-10-04 7:32,0:30:02,395.02,331.34,157,149.26,,
Traditional Strength Training,2022-10-05 6:26,2022-10-05 7:04,0:38:16,188.43,133.98,117,94.32,,
Stair Climbing,2022-10-05 7:05,2022-10-05 7:35,0:30:20,407.22,363.72,158,146.69,,
